user_id,age_bucket,retirement_goal,advisor_specialty_preference,approx_savings,profession,owns_house,risk_tolerance_score,state
1,30-40,5-10 yrs,Retirement Planning,300345,Financial Analyst,1,2,NY
2,60+,5-10 yrs,Retirement Planning,66037,Nurse,0,2,CA
3,40-50,10+ yrs,Retirement Planning,31691,Student,1,4,NY
4,40-50,5-10 yrs,Management of New Wealth,73918,Data Scientist,1,4,TX
5,<30,10+ yrs,Estate Planning,40316,Software Engineer,0,4,WA
6,<30,<2 yrs,Entrepreneurial Wealth Management,37984,Doctor,0,2,WA
7,<30,10+ yrs,Tax Aware Investing,97720,Professor,0,4,FL
8,60+,10+ yrs,Tax Preparation,15625,Sales Manager,1,2,WA
9,40-50,2-5 yrs,Life Insurance,18042,Lawyer,0,3,FL
10,40-50,5-10 yrs,Life Insurance,67330,Small Business Owner,0,2,MA
11,<30,2-5 yrs,Entrepreneurial Wealth Management,64855,Sales Manager,1,4,CA
12,60+,10+ yrs,Life Insurance,90147,Government Employee,1,3,IL
13,60+,5-10 yrs,I don't know,357790,Teacher,1,3,CA
14,<30,10+ yrs,Retirement Planning,72697,Small Business Owner,0,5,TX
15,<30,2-5 yrs,Management of New Wealth,113363,Doctor,0,4,NJ
16,<30,2-5 yrs,Tax Aware Investing,27502,Marketing Manager,0,2,NY
17,30-40,<2 yrs,Tax Aware Investing,132077,Professor,0,2,NY
18,40-50,5-10 yrs,Retirement Planning,41202,Consultant,1,4,CA
19,30-40,10+ yrs,Socially Conscious Investing,70564,Data Scientist,0,5,FL
20,30-40,10+ yrs,Retirement Planning,59996,Software Engineer,1,4,CA
21,40-50,10+ yrs,Retirement Planning,167657,Student,0,4,TX
22,<30,5-10 yrs,Tax Aware Investing,20353,Lawyer,0,4,CA
23,30-40,10+ yrs,I don't know,8476,Small Business Owner,0,3,TX
24,30-40,10+ yrs,Tax Aware Investing,54606,Software Engineer,0,3,CA
25,30-40,10+ yrs,Life Insurance,100879,Data Scientist,0,4,WA
26,40-50,5-10 yrs,Socially Conscious Investing,75890,Data Scientist,0,4,TX
27,<30,2-5 yrs,I don't know,200583,Data Scientist,0,4,NJ
28,30-40,<2 yrs,Entrepreneurial Wealth Management,98089,Teacher,0,3,IL
29,40-50,10+ yrs,Tax Preparation,39836,Sales Manager,1,4,TX
30,<30,2-5 yrs,Tax Preparation,8160,Software Engineer,0,2,CA
31,40-50,5-10 yrs,Tax Aware Investing,53445,Data Scientist,1,2,TX
32,<30,5-10 yrs,I don't know,166902,Real Estate Agent,0,5,IL
33,<30,10+ yrs,Entrepreneurial Wealth Management,46497,Student,0,5,TX
34,60+,10+ yrs,Entrepreneurial Wealth Management,67879,Small Business Owner,1,2,NY
35,60+,2-5 yrs,Tax Preparation,96686,Doctor,1,3,NY
36,60+,5-10 yrs,Retirement Planning,26535,Student,1,1,MA
37,30-40,10+ yrs,Entrepreneurial Wealth Management,115949,Nurse,1,5,CA
38,<30,10+ yrs,Retirement Planning,288776,Retired,1,5,WA
39,40-50,10+ yrs,Management of New Wealth,56639,Data Scientist,1,3,CA
40,30-40,10+ yrs,Tax Aware Investing,23952,Small Business Owner,0,3,TX
41,<30,10+ yrs,I don't know,62321,Retired,0,5,IL
42,30-40,10+ yrs,Socially Conscious Investing,8937,Accountant,1,2,NJ
43,<30,2-5 yrs,Retirement Planning,89609,Government Employee,0,5,TX
44,60+,10+ yrs,Management of New Wealth,99413,Accountant,1,3,CA
45,30-40,10+ yrs,Life Insurance,298962,Small Business Owner,0,4,CA
46,40-50,10+ yrs,Management of New Wealth,55570,Small Business Owner,1,4,TX
47,30-40,5-10 yrs,Retirement Planning,95572,Software Engineer,1,4,MA
48,40-50,5-10 yrs,Tax Aware Investing,30480,Accountant,1,3,MA
49,40-50,5-10 yrs,Life Insurance,48012,Software Engineer,1,3,NY
50,<30,5-10 yrs,I don't know,16769,Retired,0,4,WA
51,60+,2-5 yrs,Divorce Planning,55530,Doctor,1,1,NY
52,40-50,10+ yrs,Estate Planning,50272,Professor,0,3,TX
53,60+,2-5 yrs,I don't know,86619,Product Manager,1,1,WA
54,60+,<2 yrs,Estate Planning,37750,Lawyer,1,1,IL
55,40-50,5-10 yrs,Management of New Wealth,71325,Student,1,3,MA
56,60+,10+ yrs,Estate Planning,49018,Marketing Manager,1,4,CA
57,<30,5-10 yrs,Estate Planning,49101,Teacher,0,4,WA
58,<30,2-5 yrs,Life Insurance,71134,Product Manager,0,4,NY
59,<30,10+ yrs,Management of New Wealth,68629,Nurse,0,5,IL
60,30-40,5-10 yrs,Retirement Planning,131275,Lawyer,0,3,WA
61,30-40,10+ yrs,Retirement Planning,59362,Professor,0,5,NY
62,30-40,10+ yrs,Tax Aware Investing,48295,Entrepreneur,1,4,IL
63,60+,5-10 yrs,Management of New Wealth,56233,Government Employee,1,1,WA
64,30-40,5-10 yrs,Retirement Planning,34780,Construction Manager,0,3,FL
65,30-40,10+ yrs,Socially Conscious Investing,47862,Student,0,3,TX
66,40-50,<2 yrs,Tax Preparation,411696,Accountant,1,1,WA
67,<30,5-10 yrs,Tax Preparation,29102,Accountant,1,3,FL
68,60+,5-10 yrs,Life Insurance,51493,Nurse,1,2,NJ
